epoch,loss,test_acc,avg_unlabeled_cands,no_cands_unlabeled,all_cands_unlabeled,pct_confident,prior_0,prior_1,prior_2,prior_3,prior_4,prior_5,prior_6,prior_7,prior_8,prior_9
1,2.2951511335259123,14.84,0.0,59000,0,100.0,0.0902341976761818,0.09237055480480194,0.0905538871884346,0.09307196736335754,0.12291976809501648,0.12904469668865204,0.09032315760850906,0.10625524073839188,0.09036719799041748,0.09485916048288345
2,2.1263550154025035,12.93,0.0,59000,0,100.0,0.08128508925437927,0.08489598333835602,0.0816897377371788,0.08616507798433304,0.13946905732154846,0.13989359140396118,0.08138373494148254,0.1338442713022232,0.08149020373821259,0.0898829773068428
3,2.071094893211243,14.86,0.0,59000,0,100.0,0.07320952415466309,0.07844315469264984,0.0736820325255394,0.08169621974229813,0.15784244239330292,0.16491030156612396,0.07330887764692307,0.13465434312820435,0.07361611723899841,0.08863656967878342
4,2.105094652304148,10.0,0.0,59000,0,100.0,0.06592723727226257,0.07237362861633301,0.06641600281000137,0.08479837328195572,0.18034300208091736,0.16393357515335083,0.06602276861667633,0.14306485652923584,0.06658437848091125,0.09053567051887512
5,2.110984844200819,10.0,0.0,59000,0,100.0,0.05935688316822052,0.06649547815322876,0.059832364320755005,0.0790734812617302,0.18881016969680786,0.17392805218696594,0.05944637209177017,0.16834688186645508,0.060430169105529785,0.0842796042561531
6,2.0727934546516713,10.0,0.0,59000,0,100.0,0.053444016724824905,0.06110220402479172,0.0539085827767849,0.08059467375278473,0.20442867279052734,0.1759161800146103,0.05352836847305298,0.18331202864646912,0.05477161705493927,0.07899332046508789
7,2.0775452744269716,10.0,0.0,59000,0,100.0,0.04812480881810188,0.05687748268246651,0.048590268939733505,0.08473002910614014,0.20402613282203674,0.17750175297260284,0.04820236563682556,0.20858928561210632,0.04989803582429886,0.07345941662788391
8,2.131680172639132,10.0,0.0,59000,0,100.0,0.04334672912955284,0.05636589229106903,0.04382041469216347,0.09142376482486725,0.21879208087921143,0.17844611406326294,0.04341765493154526,0.2106022983789444,0.04552468657493591,0.06826001405715942
9,2.071292665317981,10.0,0.0,59000,0,100.0,0.039039891213178635,0.05318567901849747,0.03950033709406853,0.08717259019613266,0.24403846263885498,0.1751141995191574,0.0391034372150898,0.21836507320404053,0.041546329855918884,0.06293357163667679
10,2.1436412093456854,10.0,0.0,59000,0,100.0,0.035176459699869156,0.05502805486321449,0.03569094091653824,0.0842178538441658,0.2459605485200882,0.18299664556980133,0.03523088991641998,0.22726432979106903,0.0388295017182827,0.059604402631521225
11,0.4080819270925036,10.0,3.0383219718933105,0,0,100.0,0.0316595584154129,0.04956253245472908,0.032124247401952744,0.07583097368478775,0.2214413285255432,0.16479171812534332,0.0317084975540638,0.30425184965133667,0.03496133163571358,0.053667109459638596
12,0.09475107178854536,10.0,3.0383219718933105,0,0,100.0,0.02849460206925869,0.044650640338659286,0.028914811089634895,0.06828918308019638,0.19935603439807892,0.14838086068630219,0.02853858284652233,0.37356483936309814,0.031482309103012085,0.048327140510082245
13,0.0935249510131824,10.0,3.0383219718933105,0,0,100.0,0.025646580383181572,0.04024370014667511,0.02602734975516796,0.0615147203207016,0.17947205901145935,0.13360093533992767,0.025686074048280716,0.4359237551689148,0.028355855494737625,0.043528538197278976
14,0.0921554907437549,10.0,3.0383219718933105,0,0,100.0,0.023084057494997978,0.03629959374666214,0.023430215194821358,0.05543908476829529,0.16157402098178864,0.12029510736465454,0.023119473829865456,0.4919866919517517,0.02554932050406933,0.039221689105033875
15,0.09113412300573547,10.0,3.0383219718933105,0,0,100.0,0.020778486505150795,0.03276799991726875,0.02109421417117119,0.04998989775776863,0.14545938372612,0.10831174999475479,0.020810196176171303,0.5424026846885681,0.02302948385477066,0.03535572811961174
16,0.09016225183370716,10.0,3.0383219718933105,0,0,100.0,0.018704181537032127,0.029603557661175728,0.01899312436580658,0.045101750642061234,0.13094983994960785,0.09751933068037033,0.018732521682977676,0.5877436399459839,0.020766882225871086,0.03188544139266014
17,0.08910302317607949,10.0,3.0383219718933105,0,0,100.0,0.01683826930820942,0.02677321992814541,0.01710391975939274,0.04072391614317894,0.11788829416036606,0.08780243247747421,0.01686353050172329,0.6284931898117065,0.01873825117945671,0.028775377199053764
18,0.08855434576037532,10.0,3.0383219718933105,0,0,100.0,0.015159819275140762,0.024235600605607033,0.015405086800456047,0.03679831326007843,0.10612926632165909,0.07905296981334686,0.015182270668447018,0.6651319861412048,0.01691831834614277,0.02598608285188675
19,0.08797107976493931,10.0,3.0383219718933105,0,0,100.0,0.013650011271238327,0.02195592224597931,0.013877367600798607,0.03327365592122078,0.0955427885055542,0.071174755692482,0.01366990152746439,0.6980870962142944,0.015285042114555836,0.023483306169509888
20,0.08752843721120405,10.0,3.0383219718933105,0,0,100.0,0.012292095459997654,0.019909009337425232,0.012503834441304207,0.030110280960798264,0.08601291477680206,0.0640820562839508,0.012309649027884007,0.7277200818061829,0.013820476830005646,0.021239176392555237
21,0.0872054031190238,10.0,3.0383219718933105,0,0,100.0,0.011070777662098408,0.018066929653286934,0.011268810369074345,0.027266813442111015,0.07743404805660248,0.05769646540284157,0.01108620222657919,0.754377543926239,0.01250640768557787,0.019225209951400757
22,0.08712792605050464,10.0,3.0383219718933105,0,0,100.0,0.009972423315048218,0.016408903524279594,0.010158474557101727,0.02471138909459114,0.0697115957736969,0.051947787404060364,0.009985913522541523,0.7783568501472473,0.011327764019370079,0.017418187111616135
23,0.08685782255886841,10.0,3.0383219718933105,0,0,100.0,0.008984725922346115,0.01491706632077694,0.009160312823951244,0.022413307800889015,0.06276017427444458,0.04677271470427513,0.008996461518108845,0.7999268770217896,0.01027090847492218,0.015796391293406487
24,0.08665080760309754,10.0,3.0383219718933105,0,0,100.0,0.008096648380160332,0.01357394177466631,0.008263164199888706,0.020347660407423973,0.05650302767753601,0.04211422801017761,0.00810679979622364,0.8193275332450867,0.009323722682893276,0.01434209756553173
25,0.08657292405893999,10.0,3.0383219718933105,0,0,100.0,0.007298230193555355,0.012365219183266163,0.007456895429641008,0.01849021390080452,0.050870925188064575,0.03792088106274605,0.007306958083063364,0.8367776274681091,0.008474569767713547,0.013037611730396748
26,0.08641326171693517,10.0,3.0383219718933105,0,0,100.0,0.006580392364412546,0.011276287958025932,0.006732209585607052,0.016818681731820107,0.0458013191819191,0.03414612635970116,0.0065878466702997684,0.8524771332740784,0.007713500875979662,0.011865983717143536
27,0.08630677799322903,10.0,3.0383219718933105,0,0,100.0,0.005935170222073793,0.010296524502336979,0.0060811229050159454,0.015316331759095192,0.041238270699977875,0.03074842318892479,0.005941490642726421,0.8665946125984192,0.007032027468085289,0.010815629735589027
28,0.08629236751591474,10.0,3.0383219718933105,0,0,100.0,0.005355089902877808,0.00941263698041439,0.005495890509337187,0.013962874189019203,0.03713096305727959,0.027689917013049126,0.005360409151762724,0.8793001174926758,0.00642055319622159,0.009871597401797771
29,0.08626954629818705,10.0,3.0383219718933105,0,0,100.0,0.004833667539060116,0.008616176433861256,0.004970021545886993,0.012744695879518986,0.03343397378921509,0.024936845526099205,0.004838105291128159,0.8907299041748047,0.005872353911399841,0.009024008177220821
30,0.08620876227733867,10.0,3.0383219718933105,0,0,100.0,0.00436494592577219,0.007897450588643551,0.00449741305783391,0.011647437699139118,0.03010629676282406,0.02245868183672428,0.004368623718619347,0.9010160565376282,0.0053806607611477375,0.00826206523925066
31,0.086137105714776,10.0,3.0383219718933105,0,0,100.0,0.003943677060306072,0.00725032202899456,0.004072792362421751,0.010659797117114067,0.027111120522022247,0.0202280692756176,0.003946699667721987,0.9102697372436523,0.004940015263855457,0.007577847223728895
32,0.08621848878988833,10.0,3.0383219718933105,0,0,100.0,0.003565041348338127,0.00666678324341774,0.0036912322975695133,0.009770378470420837,0.02441520243883133,0.01822025328874588,0.0035675044637173414,0.9185957312583923,0.004544814582914114,0.006963218562304974
33,0.08608098299121425,10.0,3.0383219718933105,0,0,100.0,0.0032246820628643036,0.006140354089438915,0.003348318627104163,0.008968709036707878,0.021988606080412865,0.016412952914834023,0.00322667695581913,0.9260892271995544,0.004190150648355484,0.006410168018192053
34,0.08612271474757746,10.0,3.0383219718933105,0,0,100.0,0.0029187658801674843,0.005665663164108992,0.003040192648768425,0.008246789686381817,0.019804473966360092,0.014786184765398502,0.0029203735757619143,0.9328327178955078,0.0038719510193914175,0.0059129707515239716
35,0.0860815930988457,10.0,3.0383219718933105,0,0,100.0,0.0026437840424478054,0.005237411241978407,0.002763262717053294,0.007596366573125124,0.01783856377005577,0.013321898877620697,0.002645067870616913,0.9389017820358276,0.0035863048397004604,0.005465888883918524
36,0.0860550234070433,10.0,3.0383219718933105,0,0,100.0,0.0023966000881046057,0.004851187579333782,0.002514367923140526,0.007009999826550484,0.01606908068060875,0.012003880925476551,0.002397625707089901,0.9443644881248474,0.0033298423513770103,0.005063496995717287
37,0.08606265696373258,10.0,3.0383219718933105,0,0,100.0,0.002174464287236333,0.004503296222537756,0.002290772506967187,0.006482639815658331,0.014476461336016655,0.010817581787705421,0.0021752826869487762,0.949277937412262,0.0031000343151390553,0.00470217689871788
38,0.08606778490327315,10.0,3.0383219718933105,0,0,100.0,0.001974782906472683,0.00418963422998786,0.0020898126531392336,0.006007364485412836,0.013042994774878025,0.009749802760779858,0.001975442050024867,0.953700065612793,0.0028936979360878468,0.004377173725515604
39,0.08600904672408599,10.0,3.0383219718933105,0,0,100.0,0.0017953108763322234,0.00390712870284915,0.0019092336297035217,0.005579683929681778,0.011752815917134285,0.008788741193711758,0.001795849297195673,0.9576776027679443,0.0027086033951491117,0.004085259512066841
40,0.08601237260408874,10.0,3.0383219718933105,0,0,100.0,0.0016339742578566074,0.003652558196336031,0.001746936934068799,0.00519452104344964,0.010591588914394379,0.007923721335828304,0.0016344229225069284,0.9612569212913513,0.002542513655498624,0.0038226856850087643
41,0.08599674693151896,10.0,3.0383219718933105,0,0,100.0,0.0014889270532876253,0.0034231359604746103,0.0016010506078600883,0.0048477137461304665,0.00954643078148365,0.007145149167627096,0.0014893112238496542,0.9644781351089478,0.00239339517429471,0.003586597740650177
42,0.08604857787640809,10.0,3.0383219718933105,0,0,100.0,0.0013585053384304047,0.00321641331538558,0.0014698925660923123,0.00453541474416852,0.00860574096441269,0.006444387603551149,0.0013588453875854611,0.9673771858215332,0.002259418834000826,0.0033742315135896206
43,0.08611211490465888,10.0,3.0383219718933105,0,0,100.0,0.001241221441887319,0.0030301539227366447,0.0013519575586542487,0.004254167899489403,0.007759081665426493,0.00581366429105401,0.0012415321543812752,0.9699863195419312,0.0021390635520219803,0.003183165565133095
44,0.0859542937496546,10.0,3.0383219718933105,0,0,100.0,0.0011357467155903578,0.002862419467419386,0.0012459084391593933,0.004001038148999214,0.006997064221650362,0.005245990119874477,0.0011360401986166835,0.9723343849182129,0.0020309400279074907,0.0030112836975604296
45,0.08606690851681585,10.0,3.0383219718933105,0,0,100.0,0.0010408760281279683,0.002711367327719927,0.0011505322763696313,0.003773118369281292,0.006311229895800352,0.004735063761472702,0.0010411612456664443,0.9744471907615662,0.0019337639678269625,0.0028566434048116207
46,0.08606880214581611,10.0,3.0383219718933105,0,0,100.0,0.0009555256110616028,0.0025752827059477568,0.001064727664925158,0.0035678986459970474,0.005693960469216108,0.004275212530046701,0.0009558076853863895,0.9763487577438354,0.0018463438609614968,0.002717485185712576
47,0.08598651113643893,10.0,3.0383219718933105,0,0,100.0,0.0008787410915829241,0.0024528184439986944,0.0009875429095700383,0.0033832236658781767,0.005138413980603218,0.003861342091113329,0.0008790232823230326,0.9780600666999817,0.0017677645664662123,0.0025922947097569704
48,0.08594886522525663,10.0,3.0383219718933105,0,0,100.0,0.0008096506353467703,0.0023425882682204247,0.000918094883672893,0.003217011224478483,0.004638418089598417,0.0034888547379523516,0.0008099343976937234,0.979600191116333,0.0016970837023109198,0.0024796563666313887
49,0.08594819812822951,10.0,3.0383219718933105,0,0,100.0,0.0007474753656424582,0.002243365626782179,0.0008555989479646087,0.0030674119479954243,0.004188419785350561,0.0031536140013486147,0.0007477615727111697,0.9809862375259399,0.001633484149351716,0.002378287725150585
50,0.0859866428838324,10.0,3.0383219718933105,0,0,100.0,0.0006915194098837674,0.002154063433408737,0.0007993542240001261,0.002932771109044552,0.0037834206596016884,0.002851896919310093,0.0006918077706359327,0.9822337627410889,0.0015762490220367908,0.002287056762725115
